image_path,label
dataset\neutral\neutral_216.jpg,neutral
dataset\neutral\neutral_217.jpg,neutral
dataset\neutral\neutral_218.jpg,neutral
dataset\neutral\neutral_219.jpg,neutral
dataset\neutral\neutral_220.jpg,neutral
dataset\neutral\neutral_221.jpg,neutral
dataset\neutral\neutral_222.jpg,neutral
dataset\neutral\neutral_223.jpg,neutral
dataset\neutral\neutral_224.jpg,neutral
dataset\neutral\neutral_225.jpg,neutral
dataset\neutral\neutral_226.jpg,neutral
dataset\neutral\neutral_227.jpg,neutral
dataset\neutral\neutral_228.jpg,neutral
dataset\neutral\neutral_229.jpg,neutral
dataset\neutral\neutral_230.jpg,neutral
dataset\neutral\neutral_231.jpg,neutral
dataset\neutral\neutral_232.jpg,neutral
dataset\neutral\neutral_233.jpg,neutral
dataset\neutral\neutral_234.jpg,neutral
dataset\happy\happy_19.jpg,happy
dataset\neutral\neutral_235.jpg,neutral
dataset\neutral\neutral_236.jpg,neutral
dataset\neutral\neutral_237.jpg,neutral
dataset\neutral\neutral_238.jpg,neutral
dataset\neutral\neutral_239.jpg,neutral
dataset\neutral\neutral_240.jpg,neutral
dataset\neutral\neutral_241.jpg,neutral
dataset\neutral\neutral_242.jpg,neutral
dataset\neutral\neutral_243.jpg,neutral
dataset\neutral\neutral_244.jpg,neutral
dataset\neutral\neutral_245.jpg,neutral
dataset\neutral\neutral_246.jpg,neutral
dataset\neutral\neutral_247.jpg,neutral
dataset\neutral\neutral_248.jpg,neutral
dataset\neutral\neutral_249.jpg,neutral
dataset\neutral\neutral_250.jpg,neutral
dataset\neutral\neutral_251.jpg,neutral
dataset\neutral\neutral_252.jpg,neutral
dataset\neutral\neutral_253.jpg,neutral
dataset\neutral\neutral_254.jpg,neutral
dataset\neutral\neutral_255.jpg,neutral
dataset\neutral\neutral_256.jpg,neutral
dataset\neutral\neutral_257.jpg,neutral
dataset\neutral\neutral_258.jpg,neutral
dataset\neutral\neutral_259.jpg,neutral
dataset\neutral\neutral_260.jpg,neutral
dataset\neutral\neutral_261.jpg,neutral
dataset\neutral\neutral_262.jpg,neutral
dataset\neutral\neutral_263.jpg,neutral
dataset\neutral\neutral_264.jpg,neutral
dataset\neutral\neutral_265.jpg,neutral
dataset\neutral\neutral_266.jpg,neutral
dataset\neutral\neutral_267.jpg,neutral
dataset\neutral\neutral_268.jpg,neutral
dataset\neutral\neutral_269.jpg,neutral
dataset\neutral\neutral_270.jpg,neutral
dataset\neutral\neutral_271.jpg,neutral
dataset\neutral\neutral_272.jpg,neutral
dataset\neutral\neutral_273.jpg,neutral
dataset\happy\happy_20.jpg,happy
dataset\neutral\neutral_274.jpg,neutral
dataset\happy\happy_21.jpg,happy
dataset\happy\happy_22.jpg,happy
dataset\neutral\neutral_275.jpg,neutral
dataset\neutral\neutral_276.jpg,neutral
dataset\neutral\neutral_277.jpg,neutral
dataset\neutral\neutral_278.jpg,neutral
dataset\happy\happy_23.jpg,happy
dataset\angry\angry_4.jpg,angry
dataset\happy\happy_24.jpg,happy
dataset\happy\happy_25.jpg,happy
dataset\happy\happy_26.jpg,happy
dataset\happy\happy_27.jpg,happy
dataset\happy\happy_28.jpg,happy
dataset\happy\happy_29.jpg,happy
dataset\happy\happy_30.jpg,happy
dataset\happy\happy_31.jpg,happy
dataset\neutral\neutral_279.jpg,neutral
dataset\neutral\neutral_280.jpg,neutral
dataset\happy\happy_32.jpg,happy
dataset\neutral\neutral_281.jpg,neutral
dataset\neutral\neutral_282.jpg,neutral
dataset\neutral\neutral_283.jpg,neutral
dataset\neutral\neutral_284.jpg,neutral
dataset\neutral\neutral_285.jpg,neutral
dataset\happy\happy_33.jpg,happy
dataset\happy\happy_34.jpg,happy
dataset\happy\happy_35.jpg,happy
dataset\happy\happy_36.jpg,happy
dataset\neutral\neutral_286.jpg,neutral
dataset\happy\happy_37.jpg,happy
dataset\happy\happy_38.jpg,happy
dataset\happy\happy_39.jpg,happy
dataset\happy\happy_40.jpg,happy
dataset\neutral\neutral_287.jpg,neutral
dataset\neutral\neutral_288.jpg,neutral
dataset\neutral\neutral_289.jpg,neutral
dataset\happy\happy_41.jpg,happy
dataset\happy\happy_42.jpg,happy
dataset\happy\happy_43.jpg,happy
dataset\happy\happy_44.jpg,happy
dataset\happy\happy_45.jpg,happy
dataset\happy\happy_46.jpg,happy
dataset\happy\happy_47.jpg,happy
dataset\happy\happy_48.jpg,happy
dataset\happy\happy_49.jpg,happy
dataset\happy\happy_50.jpg,happy
dataset\happy\happy_51.jpg,happy
dataset\happy\happy_52.jpg,happy
dataset\happy\happy_53.jpg,happy
dataset\happy\happy_54.jpg,happy
dataset\happy\happy_55.jpg,happy
dataset\happy\happy_56.jpg,happy
dataset\happy\happy_57.jpg,happy
dataset\neutral\neutral_290.jpg,neutral
dataset\neutral\neutral_291.jpg,neutral
dataset\neutral\neutral_292.jpg,neutral
dataset\happy\happy_58.jpg,happy
dataset\happy\happy_59.jpg,happy
dataset\neutral\neutral_293.jpg,neutral
dataset\happy\happy_60.jpg,happy
dataset\happy\happy_61.jpg,happy
dataset\happy\happy_62.jpg,happy
dataset\happy\happy_63.jpg,happy
dataset\happy\happy_64.jpg,happy
dataset\happy\happy_65.jpg,happy
dataset\happy\happy_66.jpg,happy
dataset\happy\happy_67.jpg,happy
dataset\happy\happy_68.jpg,happy
dataset\happy\happy_69.jpg,happy
dataset\happy\happy_70.jpg,happy
dataset\happy\happy_71.jpg,happy
dataset\happy\happy_72.jpg,happy
dataset\happy\happy_73.jpg,happy
dataset\happy\happy_74.jpg,happy
dataset\happy\happy_75.jpg,happy
dataset\happy\happy_76.jpg,happy
dataset\neutral\neutral_294.jpg,neutral
dataset\happy\happy_77.jpg,happy
dataset\happy\happy_78.jpg,happy
dataset\neutral\neutral_295.jpg,neutral
dataset\neutral\neutral_296.jpg,neutral
dataset\neutral\neutral_297.jpg,neutral
dataset\neutral\neutral_298.jpg,neutral
dataset\neutral\neutral_299.jpg,neutral
dataset\neutral\neutral_300.jpg,neutral
dataset\neutral\neutral_301.jpg,neutral
dataset\fear\fear_36.jpg,fear
dataset\happy\happy_79.jpg,happy
dataset\neutral\neutral_302.jpg,neutral
dataset\neutral\neutral_303.jpg,neutral
dataset\neutral\neutral_304.jpg,neutral
dataset\happy\happy_80.jpg,happy
dataset\happy\happy_81.jpg,happy
dataset\happy\happy_82.jpg,happy
dataset\happy\happy_83.jpg,happy
dataset\happy\happy_84.jpg,happy
dataset\neutral\neutral_305.jpg,neutral
dataset\happy\happy_85.jpg,happy
dataset\happy\happy_86.jpg,happy
dataset\neutral\neutral_306.jpg,neutral
dataset\neutral\neutral_307.jpg,neutral
dataset\happy\happy_87.jpg,happy
dataset\happy\happy_88.jpg,happy
dataset\happy\happy_89.jpg,happy
dataset\happy\happy_90.jpg,happy
dataset\happy\happy_91.jpg,happy
dataset\happy\happy_92.jpg,happy
dataset\happy\happy_93.jpg,happy
dataset\neutral\neutral_308.jpg,neutral
dataset\happy\happy_94.jpg,happy
dataset\neutral\neutral_309.jpg,neutral
dataset\happy\happy_95.jpg,happy
dataset\happy\happy_96.jpg,happy
dataset\happy\happy_97.jpg,happy
dataset\happy\happy_98.jpg,happy
dataset\happy\happy_99.jpg,happy
dataset\neutral\neutral_310.jpg,neutral
dataset\neutral\neutral_311.jpg,neutral
dataset\happy\happy_100.jpg,happy
dataset\neutral\neutral_312.jpg,neutral
dataset\neutral\neutral_313.jpg,neutral
dataset\neutral\neutral_314.jpg,neutral
dataset\neutral\neutral_315.jpg,neutral
dataset\neutral\neutral_316.jpg,neutral
dataset\neutral\neutral_317.jpg,neutral
dataset\happy\happy_101.jpg,happy
dataset\neutral\neutral_318.jpg,neutral
dataset\happy\happy_102.jpg,happy
dataset\happy\happy_103.jpg,happy
dataset\neutral\neutral_319.jpg,neutral
dataset\neutral\neutral_320.jpg,neutral
dataset\happy\happy_104.jpg,happy
dataset\neutral\neutral_321.jpg,neutral
dataset\neutral\neutral_322.jpg,neutral
dataset\neutral\neutral_323.jpg,neutral
dataset\neutral\neutral_324.jpg,neutral
dataset\neutral\neutral_325.jpg,neutral
dataset\neutral\neutral_326.jpg,neutral
dataset\neutral\neutral_327.jpg,neutral
dataset\neutral\neutral_328.jpg,neutral
dataset\neutral\neutral_329.jpg,neutral
dataset\neutral\neutral_330.jpg,neutral
dataset\neutral\neutral_331.jpg,neutral
dataset\neutral\neutral_332.jpg,neutral
dataset\neutral\neutral_333.jpg,neutral
dataset\neutral\neutral_334.jpg,neutral
dataset\neutral\neutral_335.jpg,neutral
dataset\neutral\neutral_336.jpg,neutral
dataset\neutral\neutral_337.jpg,neutral
dataset\neutral\neutral_338.jpg,neutral
dataset\neutral\neutral_339.jpg,neutral
dataset\neutral\neutral_340.jpg,neutral
dataset\neutral\neutral_341.jpg,neutral
dataset\neutral\neutral_342.jpg,neutral
dataset\neutral\neutral_343.jpg,neutral
dataset\neutral\neutral_344.jpg,neutral
dataset\neutral\neutral_345.jpg,neutral
dataset\neutral\neutral_346.jpg,neutral
dataset\neutral\neutral_347.jpg,neutral
dataset\neutral\neutral_348.jpg,neutral
dataset\neutral\neutral_349.jpg,neutral
dataset\neutral\neutral_350.jpg,neutral
dataset\neutral\neutral_351.jpg,neutral
dataset\neutral\neutral_352.jpg,neutral
dataset\neutral\neutral_353.jpg,neutral
dataset\neutral\neutral_354.jpg,neutral
dataset\neutral\neutral_355.jpg,neutral
dataset\neutral\neutral_356.jpg,neutral
dataset\neutral\neutral_357.jpg,neutral
dataset\neutral\neutral_358.jpg,neutral
dataset\neutral\neutral_359.jpg,neutral
dataset\neutral\neutral_360.jpg,neutral
dataset\neutral\neutral_361.jpg,neutral
dataset\neutral\neutral_362.jpg,neutral
dataset\neutral\neutral_363.jpg,neutral
dataset\neutral\neutral_364.jpg,neutral
dataset\neutral\neutral_365.jpg,neutral
dataset\neutral\neutral_366.jpg,neutral
dataset\neutral\neutral_367.jpg,neutral
dataset\neutral\neutral_368.jpg,neutral
dataset\neutral\neutral_369.jpg,neutral
dataset\neutral\neutral_370.jpg,neutral
dataset\neutral\neutral_371.jpg,neutral
dataset\neutral\neutral_372.jpg,neutral
dataset\neutral\neutral_373.jpg,neutral
dataset\neutral\neutral_374.jpg,neutral
dataset\neutral\neutral_375.jpg,neutral
dataset\neutral\neutral_376.jpg,neutral
dataset\neutral\neutral_377.jpg,neutral
dataset\neutral\neutral_378.jpg,neutral
dataset\neutral\neutral_379.jpg,neutral
dataset\neutral\neutral_380.jpg,neutral
dataset\neutral\neutral_381.jpg,neutral
dataset\neutral\neutral_382.jpg,neutral
dataset\neutral\neutral_383.jpg,neutral
dataset\neutral\neutral_384.jpg,neutral
dataset\neutral\neutral_385.jpg,neutral
dataset\neutral\neutral_386.jpg,neutral
dataset\neutral\neutral_387.jpg,neutral
dataset\neutral\neutral_388.jpg,neutral
dataset\neutral\neutral_389.jpg,neutral
dataset\neutral\neutral_390.jpg,neutral
dataset\neutral\neutral_391.jpg,neutral
dataset\neutral\neutral_392.jpg,neutral
dataset\neutral\neutral_393.jpg,neutral
dataset\neutral\neutral_394.jpg,neutral
dataset\neutral\neutral_395.jpg,neutral
dataset\neutral\neutral_396.jpg,neutral
dataset\neutral\neutral_397.jpg,neutral
dataset\neutral\neutral_398.jpg,neutral
dataset\neutral\neutral_399.jpg,neutral
dataset\neutral\neutral_400.jpg,neutral
dataset\neutral\neutral_401.jpg,neutral
dataset\neutral\neutral_402.jpg,neutral
dataset\neutral\neutral_403.jpg,neutral
dataset\neutral\neutral_404.jpg,neutral
dataset\neutral\neutral_405.jpg,neutral
dataset\neutral\neutral_406.jpg,neutral
dataset\neutral\neutral_407.jpg,neutral
dataset\neutral\neutral_408.jpg,neutral
dataset\neutral\neutral_409.jpg,neutral
dataset\neutral\neutral_410.jpg,neutral
dataset\neutral\neutral_411.jpg,neutral
dataset\neutral\neutral_412.jpg,neutral
dataset\neutral\neutral_413.jpg,neutral
dataset\neutral\neutral_414.jpg,neutral
dataset\neutral\neutral_415.jpg,neutral
dataset\neutral\neutral_416.jpg,neutral
dataset\neutral\neutral_417.jpg,neutral
dataset\neutral\neutral_418.jpg,neutral
dataset\neutral\neutral_419.jpg,neutral
dataset\neutral\neutral_420.jpg,neutral
dataset\neutral\neutral_421.jpg,neutral
dataset\neutral\neutral_422.jpg,neutral
dataset\neutral\neutral_423.jpg,neutral
dataset\neutral\neutral_424.jpg,neutral
dataset\neutral\neutral_425.jpg,neutral
dataset\neutral\neutral_426.jpg,neutral
dataset\neutral\neutral_427.jpg,neutral
dataset\neutral\neutral_428.jpg,neutral
dataset\neutral\neutral_429.jpg,neutral
dataset\neutral\neutral_430.jpg,neutral
dataset\neutral\neutral_431.jpg,neutral
dataset\neutral\neutral_432.jpg,neutral
dataset\neutral\neutral_433.jpg,neutral
dataset\neutral\neutral_434.jpg,neutral
dataset\neutral\neutral_435.jpg,neutral
dataset\neutral\neutral_436.jpg,neutral
dataset\neutral\neutral_437.jpg,neutral
dataset\neutral\neutral_438.jpg,neutral
dataset\neutral\neutral_439.jpg,neutral
dataset\neutral\neutral_440.jpg,neutral
dataset\neutral\neutral_441.jpg,neutral
dataset\neutral\neutral_442.jpg,neutral
dataset\neutral\neutral_443.jpg,neutral
dataset\neutral\neutral_444.jpg,neutral
dataset\neutral\neutral_445.jpg,neutral
dataset\neutral\neutral_446.jpg,neutral
dataset\neutral\neutral_447.jpg,neutral
dataset\neutral\neutral_448.jpg,neutral
dataset\happy\happy_105.jpg,happy
dataset\happy\happy_106.jpg,happy
dataset\neutral\neutral_449.jpg,neutral
dataset\happy\happy_107.jpg,happy
dataset\happy\happy_108.jpg,happy
dataset\neutral\neutral_450.jpg,neutral
dataset\neutral\neutral_451.jpg,neutral
dataset\neutral\neutral_452.jpg,neutral
dataset\neutral\neutral_453.jpg,neutral
dataset\neutral\neutral_454.jpg,neutral
dataset\neutral\neutral_455.jpg,neutral
dataset\neutral\neutral_456.jpg,neutral
dataset\neutral\neutral_457.jpg,neutral
dataset\neutral\neutral_458.jpg,neutral
dataset\neutral\neutral_459.jpg,neutral
dataset\neutral\neutral_460.jpg,neutral
dataset\neutral\neutral_461.jpg,neutral
dataset\neutral\neutral_462.jpg,neutral
dataset\neutral\neutral_463.jpg,neutral
dataset\neutral\neutral_464.jpg,neutral
dataset\neutral\neutral_465.jpg,neutral
dataset\neutral\neutral_466.jpg,neutral
dataset\neutral\neutral_467.jpg,neutral
dataset\neutral\neutral_468.jpg,neutral
dataset\neutral\neutral_469.jpg,neutral
dataset\sad\sad_23.jpg,sad
dataset\happy\happy_109.jpg,happy
dataset\fear\fear_37.jpg,fear
dataset\neutral\neutral_470.jpg,neutral
dataset\sad\sad_24.jpg,sad
dataset\neutral\neutral_471.jpg,neutral
dataset\neutral\neutral_472.jpg,neutral
dataset\sad\sad_25.jpg,sad
dataset\neutral\neutral_473.jpg,neutral
dataset\happy\happy_110.jpg,happy
dataset\neutral\neutral_474.jpg,neutral
dataset\happy\happy_111.jpg,happy
dataset\happy\happy_112.jpg,happy
dataset\happy\happy_113.jpg,happy
dataset\sad\sad_26.jpg,sad
